,acc_nbr,tearly,tmid,tlate,cearly,cmid,clate
0,0001E57B27EC428F10843E1E79BE0E8C,46.99667,0.0,0.0,16.0,0.0,0.0
1,000AB6933A3B5AD33D5997177E374479,33.797579999999996,0.0,0.0,0.4,0.0,0.0
2,000CF77B766A6AB80CFDFA2941296320,235.77242999999999,1070.33773,0.0,25.4,84.4,0.0
3,000D15B6B116C5039E68E0A311AA63B1,42.186479999999996,0.0,0.0,5.1,0.0,0.0
4,00169B901E5A6570765A88F489B9DE01,17.65632,0.0,0.0,1.3,0.0,0.0
5,0030DFBB0A18C585DDED8A0B00E074D0,273.64211000000006,0.0,0.0,23.9,0.0,0.0
6,00374A037AE51C3F778D21E05CBBA37A,1128.56597,0.0,0.0,66.6,0.0,0.0
7,0039323FDABAE173300FD6021E91089E,144.45511,0.0,0.0,51.4,0.0,0.0
8,0045E40DAA154DB66FA9924275ACC796,652.71468,0.0,0.0,45.4,0.0,0.0
9,00479156A5DBE9DD611221D19A47880E,22.48514,0.0,0.0,3.1,0.0,0.0
10,0061042872F2CE620F8D21AB7FD881C5,72.63793000000001,193.81516000000002,102.76323,6.7,6.8,2.1
11,00801E6611699C6CC175531CD0EAA2B0,42.661,0.0,0.0,8.0,0.0,0.0
12,0096711A889C279DCACE1AC42C2C014C,2.23333,0.0,0.0,0.6,0.0,0.0
13,00BF211C1F9FD4B2F678F6738B7B12F5,53.183040000000005,0.0,0.0,8.2,0.0,0.0
14,00C069475DE270524A905F9F272C694A,936.47703,0.0,0.0,94.4,0.0,0.0
15,00C154692D2DBC38DDB01BEDEBED2033,0.0,223.73372,151.4826,0.0,22.4,17.4
16,00C6CFEA2B19769ED03A786CD5338B21,854.82313,0.0,0.0,56.5,0.0,0.0
17,00E26FE62F6603953C57A1FD529E08A1,49.05221,0.0,0.0,1.6,0.0,0.0
18,00F0E97CD5B7EC7CA043EA7819BA75E6,1287.45985,0.0,0.0,76.2,0.0,0.0
19,00F74860DB0F426291F602C9C42061B0,105.46753999999999,0.0,0.0,4.3,0.0,0.0
20,00FA37BA47311BCF528D6DABC5903CB5,48.95886,0.0,0.0,1.7,0.0,0.0
21,00FF851AF46CBFAD17D62B3DC3A157A3,0.8584099999999999,0.0,0.0,0.2,0.0,0.0
22,0100112CA978AD2D6C64A8375E99769F,168.27553,0.0,0.0,18.1,0.0,0.0
23,01040C55235E829AC760DE3F66F7E46E,525.75028,0.0,0.0,169.6,0.0,0.0
24,0116FF18747C6671FCBCCC922B369614,131.98696999999999,0.0,0.0,23.2,0.0,0.0
25,0129BBAD08237CC003CD8E1A47303EBF,480.18639999999994,0.0,0.0,8.6,0.0,0.0
26,012DAF02AC407B2ABAF3A4658D2FAD6E,200.87615,0.0,0.0,12.8,0.0,0.0
27,015271B093BE6836690454B9CFD326A6,607.1474000000001,0.0,0.0,57.9,0.0,0.0
28,01572C4269278D1601A732F8019C737E,16.57912,0.0,0.0,1.4,0.0,0.0
29,01651D1288763214FAEF4CD9FF5496D3,0.00117,0.0,0.0,0.1,0.0,0.0
